;pais;anos;quantidade;valor;origem;tipo
454;Paises Baixos (Holanda);2015;0.0;0.0;Brasil;Vinhos
455;Panama;2015;0.0;0.0;Brasil;Vinhos
456;Peru;2015;0.0;0.0;Brasil;Vinhos
457;Porto Rico;2015;0.0;0.0;Brasil;Vinhos
458;Portugal;2015;9952290.0;32547365.0;Brasil;Vinhos
459;Reino Unido;2015;90.0;1352.0;Brasil;Vinhos
460;Republica Dominicana;2015;0.0;0.0;Brasil;Vinhos
461;Romenia;2015;5950.0;7925.0;Brasil;Vinhos
462;Russia;2015;0.0;0.0;Brasil;Vinhos
463;San Marino;2015;0.0;0.0;Brasil;Vinhos
464;Servia;2015;0.0;0.0;Brasil;Vinhos
465;Siria;2015;0.0;0.0;Brasil;Vinhos
466;Suazilandia;2015;0.0;0.0;Brasil;Vinhos
467;Suica;2015;1125.0;6284.0;Brasil;Vinhos
468;Republica Tcheca;2015;0.0;0.0;Brasil;Vinhos
469;Tunisia;2015;0.0;0.0;Brasil;Vinhos
470;Turquia;2015;32247.0;109741.0;Brasil;Vinhos
471;Ucrania;2015;0.0;0.0;Brasil;Vinhos
472;Uruguai;2015;1399547.0;4069100.0;Brasil;Vinhos
473;Nao consta na tabela;2015;0.0;0.0;Brasil;Vinhos
474;Nao declarados;2015;0.0;0.0;Brasil;Vinhos
475;Outros;2015;0.0;0.0;Brasil;Vinhos
476;Africa do Sul;2016;578829.0;1686226.0;Brasil;Vinhos
477;Alemanha;2016;158386.0;606333.0;Brasil;Vinhos
478;Argelia;2016;0.0;43.0;Brasil;Vinhos
479;Arabia Saudita;2016;0.0;43.0;Brasil;Vinhos
480;Argentina;2016;14098009.0;45214862.0;Brasil;Vinhos
481;Armenia;2016;0.0;0.0;Brasil;Vinhos
482;Australia;2016;498515.0;1537834.0;Brasil;Vinhos
483;Austria;2016;1485.0;7551.0;Brasil;Vinhos
484;Bermudas;2016;0.0;0.0;Brasil;Vinhos
485;Belgica;2016;7.0;1090.0;Brasil;Vinhos
486;Bolivia;2016;0.0;0.0;Brasil;Vinhos
