;pais;anos;quantidade;valor;origem;tipo
378;Luxemburgo;2014;0.0;0.0;Brasil;Vinhos
379;Macedônia;2014;252.0;497.0;Brasil;Vinhos
380;Marrocos;2014;0.0;0.0;Brasil;Vinhos
381;México;2014;0.0;0.0;Brasil;Vinhos
382;Moldávia;2014;0.0;0.0;Brasil;Vinhos
383;Montenegro;2014;0.0;0.0;Brasil;Vinhos
384;Noruega;2014;0.0;0.0;Brasil;Vinhos
385;Nova Zelândia;2014;106251.0;843533.0;Brasil;Vinhos
386;Países Baixos (Holanda);2014;0.0;0.0;Brasil;Vinhos
387;Panamá;2014;0.0;0.0;Brasil;Vinhos
388;Peru;2014;3201.0;7906.0;Brasil;Vinhos
389;Porto Rico;2014;0.0;0.0;Brasil;Vinhos
390;Portugal;2014;9735153.0;37071142.0;Brasil;Vinhos
391;Reino Unido;2014;315.0;9410.0;Brasil;Vinhos
392;Republica Dominicana;2014;0.0;0.0;Brasil;Vinhos
393;Romênia;2014;4163.0;5629.0;Brasil;Vinhos
394;Rússia;2014;0.0;0.0;Brasil;Vinhos
395;San Marino;2014;0.0;0.0;Brasil;Vinhos
396;Sérvia;2014;0.0;0.0;Brasil;Vinhos
397;Síria;2014;0.0;0.0;Brasil;Vinhos
398;Suazilândia;2014;0.0;0.0;Brasil;Vinhos
399;Suíça;2014;0.0;0.0;Brasil;Vinhos
400;Tcheca, República;2014;0.0;0.0;Brasil;Vinhos
401;Tunísia;2014;0.0;0.0;Brasil;Vinhos
402;Turquia;2014;0.0;0.0;Brasil;Vinhos
403;Ucrânia;2014;0.0;0.0;Brasil;Vinhos
404;Uruguai;2014;1237537.0;3782282.0;Brasil;Vinhos
405;Não consta na tabela;2014;0.0;0.0;Brasil;Vinhos
406;Não declarados;2014;0.0;0.0;Brasil;Vinhos
407;Outros;2014;0.0;0.0;Brasil;Vinhos
408;Africa do Sul;2015;743335.0;2996543.0;Brasil;Vinhos
409;Alemanha;2015;95171.0;358275.0;Brasil;Vinhos
410;Argélia;2015;0.0;0.0;Brasil;Vinhos
411;Arábia Saudita;2015;0.0;0.0;Brasil;Vinhos
412;Argentina;2015;12465041.0;48043201.0;Brasil;Vinhos
413;Armênia;2015;0.0;0.0;Brasil;Vinhos
414;Austrália;2015;395030.0;1261810.0;Brasil;Vinhos
415;Áustria;2015;360.0;3891.0;Brasil;Vinhos
416;Bermudas;2015;0.0;0.0;Brasil;Vinhos
417;Bélgica;2015;0.0;0.0;Brasil;Vinhos
418;Bolívia;2015;0.0;0.0;Brasil;Vinhos
419;Bósnia-Herzegovina;2015;0.0;0.0;Brasil;Vinhos
420;Brasil;2015;1359.0;12919.0;Brasil;Vinhos
421;Bulgária;2015;17244.0;51678.0;Brasil;Vinhos
422;Canada;2015;0.0;0.0;Brasil;Vinhos
423;Chile;2015;36686870.0;107684380.0;Brasil;Vinhos
424;China;2015;0.0;0.0;Brasil;Vinhos
425;Coreia do Sul, República;2015;0.0;0.0;Brasil;Vinhos
426;Croácia;2015;2069.0;3779.0;Brasil;Vinhos
427;Cuba;2015;0.0;0.0;Brasil;Vinhos
428;Emirados Árabes Unidos;2015;529.0;10093.0;Brasil;Vinhos
429;Eslovênia;2015;4640.0;24190.0;Brasil;Vinhos
430;Eslováquia;2015;0.0;0.0;Brasil;Vinhos
431;Espanha;2015;3024533.0;11396855.0;Brasil;Vinhos
432;Estados Unidos;2015;775131.0;3848755.0;Brasil;Vinhos
433;França;2015;3617130.0;19353291.0;Brasil;Vinhos
434;Geórgia;2015;0.0;0.0;Brasil;Vinhos
435;Geórgia do Sul e Sandwich do Sul, Ilhas;2015;0.0;0.0;Brasil;Vinhos
436;Grécia;2015;55680.0;190185.0;Brasil;Vinhos
437;Hong Kong;2015;0.0;0.0;Brasil;Vinhos
438;Hungria;2015;5117.0;74688.0;Brasil;Vinhos
439;Indonésia;2015;0.0;0.0;Brasil;Vinhos
440;Irlanda;2015;0.0;0.0;Brasil;Vinhos
441;Israel;2015;19028.0;55248.0;Brasil;Vinhos
442;Itália;2015;8261383.0;25846195.0;Brasil;Vinhos
443;Japão;2015;0.0;0.0;Brasil;Vinhos
444;Iugoslávia;2015;0.0;0.0;Brasil;Vinhos
445;Líbano;2015;6480.0;56196.0;Brasil;Vinhos
446;Luxemburgo;2015;0.0;0.0;Brasil;Vinhos
447;Macedônia;2015;0.0;0.0;Brasil;Vinhos
448;Marrocos;2015;1755.0;15082.0;Brasil;Vinhos
449;México;2015;0.0;0.0;Brasil;Vinhos
450;Moldávia;2015;0.0;0.0;Brasil;Vinhos
451;Montenegro;2015;0.0;0.0;Brasil;Vinhos
452;Noruega;2015;0.0;0.0;Brasil;Vinhos
453;Nova Zelândia;2015;117340.0;950751.0;Brasil;Vinhos
454;Países Baixos (Holanda);2015;0.0;0.0;Brasil;Vinhos
455;Panamá;2015;0.0;0.0;Brasil;Vinhos
456;Peru;2015;0.0;0.0;Brasil;Vinhos
457;Porto Rico;2015;0.0;0.0;Brasil;Vinhos
458;Portugal;2015;9952290.0;32547365.0;Brasil;Vinhos
459;Reino Unido;2015;90.0;1352.0;Brasil;Vinhos
460;Republica Dominicana;2015;0.0;0.0;Brasil;Vinhos
461;Romênia;2015;5950.0;7925.0;Brasil;Vinhos
462;Rússia;2015;0.0;0.0;Brasil;Vinhos
463;San Marino;2015;0.0;0.0;Brasil;Vinhos
464;Sérvia;2015;0.0;0.0;Brasil;Vinhos
465;Síria;2015;0.0;0.0;Brasil;Vinhos
466;Suazilândia;2015;0.0;0.0;Brasil;Vinhos
467;Suíça;2015;1125.0;6284.0;Brasil;Vinhos
468;Tcheca, República;2015;0.0;0.0;Brasil;Vinhos
469;Tunísia;2015;0.0;0.0;Brasil;Vinhos
470;Turquia;2015;32247.0;109741.0;Brasil;Vinhos
471;Ucrânia;2015;0.0;0.0;Brasil;Vinhos
472;Uruguai;2015;1399547.0;4069100.0;Brasil;Vinhos
473;Não consta na tabela;2015;0.0;0.0;Brasil;Vinhos
474;Não declarados;2015;0.0;0.0;Brasil;Vinhos
475;Outros;2015;0.0;0.0;Brasil;Vinhos
476;Africa do Sul;2016;578829.0;1686226.0;Brasil;Vinhos
477;Alemanha;2016;158386.0;606333.0;Brasil;Vinhos
478;Argélia;2016;0.0;43.0;Brasil;Vinhos
479;Arábia Saudita;2016;0.0;43.0;Brasil;Vinhos
480;Argentina;2016;14098009.0;45214862.0;Brasil;Vinhos
481;Armênia;2016;0.0;0.0;Brasil;Vinhos
482;Austrália;2016;498515.0;1537834.0;Brasil;Vinhos
483;Áustria;2016;1485.0;7551.0;Brasil;Vinhos
484;Bermudas;2016;0.0;0.0;Brasil;Vinhos
485;Bélgica;2016;7.0;1090.0;Brasil;Vinhos
486;Bolívia;2016;0.0;0.0;Brasil;Vinhos
487;Bósnia-Herzegovina;2016;0.0;0.0;Brasil;Vinhos
488;Brasil;2016;183.0;2127.0;Brasil;Vinhos
489;Bulgária;2016;17777.0;55253.0;Brasil;Vinhos
490;Canada;2016;0.0;0.0;Brasil;Vinhos
491;Chile;2016;43400991.0;123183079.0;Brasil;Vinhos
492;China;2016;108.0;213.0;Brasil;Vinhos
493;Coreia do Sul, República;2016;0.0;0.0;Brasil;Vinhos
494;Croácia;2016;0.0;0.0;Brasil;Vinhos
495;Cuba;2016;0.0;0.0;Brasil;Vinhos
496;Emirados Árabes Unidos;2016;2175.0;35489.0;Brasil;Vinhos
497;Eslovênia;2016;14366.0;46972.0;Brasil;Vinhos
498;Eslováquia;2016;1305.0;3878.0;Brasil;Vinhos
499;Espanha;2016;3948614.0;12221512.0;Brasil;Vinhos
500;Estados Unidos;2016;725420.0;2924715.0;Brasil;Vinhos
501;França;2016;3831566.0;15940341.0;Brasil;Vinhos
502;Geórgia;2016;0.0;0.0;Brasil;Vinhos
