;pais;anos;quantidade;valor;origem;tipo
94;Panamá;2013;0;0;Brasil;Uvas Frescas
95;Reino Unido;2013;0;0;Brasil;Uvas Frescas
96;Uruguai;2013;0;0;Brasil;Uvas Frescas
97;Venezuela;2013;0;0;Brasil;Uvas Frescas
98;Não consta na tabela;2013;0;0;Brasil;Uvas Frescas
99;Outros;2013;0;0;Brasil;Uvas Frescas
100;Argélia;2014;0;0;Brasil;Uvas Frescas
101;Argentina;2014;2758211;4852008;Brasil;Uvas Frescas
102;Brasil;2014;0;0;Brasil;Uvas Frescas
103;Chile;2014;25952434;47301298;Brasil;Uvas Frescas
104;Colômbia;2014;0;0;Brasil;Uvas Frescas
105;Egito;2014;0;0;Brasil;Uvas Frescas
106;Espanha;2014;401281;716423;Brasil;Uvas Frescas
107;Estados Unidos;2014;50811;166753;Brasil;Uvas Frescas
108;Grécia;2014;0;0;Brasil;Uvas Frescas
109;Itália;2014;1228338;2274045;Brasil;Uvas Frescas
110;México;2014;184747;398096;Brasil;Uvas Frescas
111;Peru;2014;3184984;6629415;Brasil;Uvas Frescas
112;Paraguai;2014;0;0;Brasil;Uvas Frescas
113;Portugal;2014;0;0;Brasil;Uvas Frescas
114;Panamá;2014;0;0;Brasil;Uvas Frescas
115;Reino Unido;2014;0;0;Brasil;Uvas Frescas
116;Uruguai;2014;0;0;Brasil;Uvas Frescas
117;Venezuela;2014;0;0;Brasil;Uvas Frescas
118;Não consta na tabela;2014;0;0;Brasil;Uvas Frescas
119;Outros;2014;0;0;Brasil;Uvas Frescas
120;Argélia;2015;0;0;Brasil;Uvas Frescas
121;Argentina;2015;3569873;5636226;Brasil;Uvas Frescas
122;Brasil;2015;0;0;Brasil;Uvas Frescas
123;Chile;2015;24254096;36956724;Brasil;Uvas Frescas
124;Colômbia;2015;0;0;Brasil;Uvas Frescas
125;Egito;2015;0;0;Brasil;Uvas Frescas
126;Espanha;2015;145066;257656;Brasil;Uvas Frescas
127;Estados Unidos;2015;16504;65265;Brasil;Uvas Frescas
128;Grécia;2015;0;0;Brasil;Uvas Frescas
129;Itália;2015;1053083;1856161;Brasil;Uvas Frescas
130;México;2015;133608;307654;Brasil;Uvas Frescas
131;Peru;2015;2645931;4885560;Brasil;Uvas Frescas
132;Paraguai;2015;0;0;Brasil;Uvas Frescas
133;Portugal;2015;0;0;Brasil;Uvas Frescas
134;Panamá;2015;0;0;Brasil;Uvas Frescas
135;Reino Unido;2015;0;0;Brasil;Uvas Frescas
136;Uruguai;2015;0;0;Brasil;Uvas Frescas
137;Venezuela;2015;0;0;Brasil;Uvas Frescas
138;Não consta na tabela;2015;0;0;Brasil;Uvas Frescas
139;Outros;2015;0;0;Brasil;Uvas Frescas
140;Argélia;2016;0;0;Brasil;Uvas Frescas
141;Argentina;2016;3931377;5771032;Brasil;Uvas Frescas
142;Brasil;2016;0;0;Brasil;Uvas Frescas
143;Chile;2016;18424582;30767570;Brasil;Uvas Frescas
144;Colômbia;2016;0;0;Brasil;Uvas Frescas
145;Egito;2016;0;0;Brasil;Uvas Frescas
146;Espanha;2016;431567;628571;Brasil;Uvas Frescas
147;Estados Unidos;2016;3522;21093;Brasil;Uvas Frescas
148;Grécia;2016;0;0;Brasil;Uvas Frescas
149;Itália;2016;589675;1002856;Brasil;Uvas Frescas
150;México;2016;0;0;Brasil;Uvas Frescas
151;Peru;2016;4399499;7646918;Brasil;Uvas Frescas
152;Paraguai;2016;0;0;Brasil;Uvas Frescas
153;Portugal;2016;0;0;Brasil;Uvas Frescas
154;Panamá;2016;0;0;Brasil;Uvas Frescas
155;Reino Unido;2016;0;0;Brasil;Uvas Frescas
156;Uruguai;2016;0;0;Brasil;Uvas Frescas
157;Venezuela;2016;0;0;Brasil;Uvas Frescas
158;Não consta na tabela;2016;0;0;Brasil;Uvas Frescas
159;Outros;2016;0;0;Brasil;Uvas Frescas
160;Argélia;2017;0;0;Brasil;Uvas Frescas
161;Argentina;2017;2097970;3302565;Brasil;Uvas Frescas
162;Brasil;2017;0;0;Brasil;Uvas Frescas
163;Chile;2017;18510455;29248621;Brasil;Uvas Frescas
164;Colômbia;2017;0;0;Brasil;Uvas Frescas
165;Egito;2017;0;0;Brasil;Uvas Frescas
166;Espanha;2017;243947;403978;Brasil;Uvas Frescas
167;Estados Unidos;2017;2164;17056;Brasil;Uvas Frescas
168;Grécia;2017;0;0;Brasil;Uvas Frescas
169;Itália;2017;788663;1442078;Brasil;Uvas Frescas
170;México;2017;0;0;Brasil;Uvas Frescas
171;Peru;2017;2553897;4729591;Brasil;Uvas Frescas
172;Paraguai;2017;0;0;Brasil;Uvas Frescas
173;Portugal;2017;0;0;Brasil;Uvas Frescas
174;Panamá;2017;0;0;Brasil;Uvas Frescas
175;Reino Unido;2017;0;0;Brasil;Uvas Frescas
176;Uruguai;2017;0;0;Brasil;Uvas Frescas
177;Venezuela;2017;0;0;Brasil;Uvas Frescas
178;Não consta na tabela;2017;0;0;Brasil;Uvas Frescas
179;Outros;2017;0;0;Brasil;Uvas Frescas
180;Argélia;2018;0;0;Brasil;Uvas Frescas
181;Argentina;2018;1616855;2499358;Brasil;Uvas Frescas
182;Brasil;2018;0;0;Brasil;Uvas Frescas
183;Chile;2018;16103415;25237521;Brasil;Uvas Frescas
184;Colômbia;2018;0;0;Brasil;Uvas Frescas
185;Egito;2018;0;0;Brasil;Uvas Frescas
186;Espanha;2018;83212;164529;Brasil;Uvas Frescas
187;Estados Unidos;2018;15100;40981;Brasil;Uvas Frescas
188;Grécia;2018;0;0;Brasil;Uvas Frescas
189;Itália;2018;334544;610245;Brasil;Uvas Frescas
190;México;2018;0;0;Brasil;Uvas Frescas
191;Peru;2018;947045;1936467;Brasil;Uvas Frescas
192;Paraguai;2018;0;0;Brasil;Uvas Frescas
193;Portugal;2018;0;0;Brasil;Uvas Frescas
194;Panamá;2018;0;0;Brasil;Uvas Frescas
195;Reino Unido;2018;0;0;Brasil;Uvas Frescas
196;Uruguai;2018;0;0;Brasil;Uvas Frescas
197;Venezuela;2018;0;0;Brasil;Uvas Frescas
198;Não consta na tabela;2018;0;0;Brasil;Uvas Frescas
199;Outros;2018;0;0;Brasil;Uvas Frescas
200;Argélia;2019;0;0;Brasil;Uvas Frescas
201;Argentina;2019;3211513;4659791;Brasil;Uvas Frescas
202;Brasil;2019;0;0;Brasil;Uvas Frescas
203;Chile;2019;9082957;13450429;Brasil;Uvas Frescas
204;Colômbia;2019;0;0;Brasil;Uvas Frescas
205;Egito;2019;0;0;Brasil;Uvas Frescas
206;Espanha;2019;51079;109171;Brasil;Uvas Frescas
207;Estados Unidos;2019;1343;10481;Brasil;Uvas Frescas
208;Grécia;2019;0;0;Brasil;Uvas Frescas
209;Itália;2019;591991;1020673;Brasil;Uvas Frescas
210;México;2019;0;0;Brasil;Uvas Frescas
211;Peru;2019;1585923;2862870;Brasil;Uvas Frescas
212;Paraguai;2019;0;0;Brasil;Uvas Frescas
213;Portugal;2019;0;0;Brasil;Uvas Frescas
214;Panamá;2019;0;0;Brasil;Uvas Frescas
215;Reino Unido;2019;0;0;Brasil;Uvas Frescas
216;Uruguai;2019;0;0;Brasil;Uvas Frescas
217;Venezuela;2019;0;0;Brasil;Uvas Frescas
218;Não consta na tabela;2019;0;0;Brasil;Uvas Frescas
219;Outros;2019;0;0;Brasil;Uvas Frescas
220;Argélia;2020;21746;34476;Brasil;Uvas Frescas
221;Argentina;2020;1798220;2559671;Brasil;Uvas Frescas
222;Brasil;2020;0;0;Brasil;Uvas Frescas
223;Chile;2020;4943446;6986630;Brasil;Uvas Frescas
224;Colômbia;2020;0;0;Brasil;Uvas Frescas
225;Egito;2020;0;0;Brasil;Uvas Frescas
226;Espanha;2020;0;0;Brasil;Uvas Frescas
227;Estados Unidos;2020;0;0;Brasil;Uvas Frescas
228;Grécia;2020;0;0;Brasil;Uvas Frescas
229;Itália;2020;0;0;Brasil;Uvas Frescas
230;México;2020;0;0;Brasil;Uvas Frescas
231;Peru;2020;487080;852856;Brasil;Uvas Frescas
232;Paraguai;2020;0;0;Brasil;Uvas Frescas
233;Portugal;2020;0;0;Brasil;Uvas Frescas
234;Panamá;2020;0;0;Brasil;Uvas Frescas
235;Reino Unido;2020;0;0;Brasil;Uvas Frescas
236;Uruguai;2020;0;0;Brasil;Uvas Frescas
237;Venezuela;2020;0;0;Brasil;Uvas Frescas
238;Não consta na tabela;2020;0;0;Brasil;Uvas Frescas
239;Outros;2020;0;0;Brasil;Uvas Frescas
240;Argélia;2021;0;0;Brasil;Uvas Frescas
241;Argentina;2021;1356735;1696659;Brasil;Uvas Frescas
242;Brasil;2021;0;0;Brasil;Uvas Frescas
243;Chile;2021;3888723;5404163;Brasil;Uvas Frescas
244;Colômbia;2021;0;0;Brasil;Uvas Frescas
245;Egito;2021;0;0;Brasil;Uvas Frescas
246;Espanha;2021;0;0;Brasil;Uvas Frescas
247;Estados Unidos;2021;0;0;Brasil;Uvas Frescas
248;Grécia;2021;0;0;Brasil;Uvas Frescas
249;Itália;2021;0;0;Brasil;Uvas Frescas
250;México;2021;0;0;Brasil;Uvas Frescas
251;Peru;2021;75768;151819;Brasil;Uvas Frescas
252;Paraguai;2021;0;0;Brasil;Uvas Frescas
253;Portugal;2021;0;0;Brasil;Uvas Frescas
254;Panamá;2021;0;0;Brasil;Uvas Frescas
255;Reino Unido;2021;0;0;Brasil;Uvas Frescas
256;Uruguai;2021;0;0;Brasil;Uvas Frescas
257;Venezuela;2021;0;0;Brasil;Uvas Frescas
258;Não consta na tabela;2021;0;0;Brasil;Uvas Frescas
259;Outros;2021;0;0;Brasil;Uvas Frescas
260;Argélia;2022;0;0;Brasil;Uvas Frescas
261;Argentina;2022;771187;1053519;Brasil;Uvas Frescas
262;Brasil;2022;0;0;Brasil;Uvas Frescas
263;Chile;2022;6536258;9640996;Brasil;Uvas Frescas
264;Colômbia;2022;0;0;Brasil;Uvas Frescas
265;Egito;2022;27760;53709;Brasil;Uvas Frescas
266;Espanha;2022;0;0;Brasil;Uvas Frescas
267;Estados Unidos;2022;0;0;Brasil;Uvas Frescas
268;Grécia;2022;0;0;Brasil;Uvas Frescas
269;Itália;2022;0;0;Brasil;Uvas Frescas
270;México;2022;414622;902301;Brasil;Uvas Frescas
271;Peru;2022;0;0;Brasil;Uvas Frescas
272;Paraguai;2022;0;0;Brasil;Uvas Frescas
273;Portugal;2022;0;0;Brasil;Uvas Frescas
274;Panamá;2022;0;0;Brasil;Uvas Frescas
275;Reino Unido;2022;0;0;Brasil;Uvas Frescas
276;Uruguai;2022;0;0;Brasil;Uvas Frescas
277;Venezuela;2022;0;0;Brasil;Uvas Frescas
278;Não consta na tabela;2022;0;0;Brasil;Uvas Frescas
279;Outros;2022;0;0;Brasil;Uvas Frescas
280;Argélia;2023;0;0;Brasil;Uvas Frescas
281;Argentina;2023;400781;525034;Brasil;Uvas Frescas
282;Brasil;2023;0;0;Brasil;Uvas Frescas
283;Chile;2023;6144949;9738753;Brasil;Uvas Frescas
284;Colômbia;2023;0;0;Brasil;Uvas Frescas
285;Egito;2023;0;0;Brasil;Uvas Frescas
286;Espanha;2023;0;0;Brasil;Uvas Frescas
287;Estados Unidos;2023;0;0;Brasil;Uvas Frescas
288;Grécia;2023;0;0;Brasil;Uvas Frescas
289;Itália;2023;0;0;Brasil;Uvas Frescas
290;México;2023;0;0;Brasil;Uvas Frescas
291;Peru;2023;1086032;2635488;Brasil;Uvas Frescas
292;Paraguai;2023;0;0;Brasil;Uvas Frescas
293;Portugal;2023;0;0;Brasil;Uvas Frescas
294;Panamá;2023;0;0;Brasil;Uvas Frescas
295;Reino Unido;2023;0;0;Brasil;Uvas Frescas
296;Uruguai;2023;0;0;Brasil;Uvas Frescas
297;Venezuela;2023;0;0;Brasil;Uvas Frescas
298;Não consta na tabela;2023;0;0;Brasil;Uvas Frescas
299;Outros;2023;0;0;Brasil;Uvas Frescas
