;pais;anos;quantidade;valor;origem;tipo
89;Eslovênia;2010;0.0;0.0;Brasil;Vinhos
90;Eslováquia;2010;0.0;0.0;Brasil;Vinhos
91;Espanha;2010;1622100.0;8698824.0;Brasil;Vinhos
92;Estados Unidos;2010;194774.0;1344921.0;Brasil;Vinhos
93;França;2010;2799118.0;18778566.0;Brasil;Vinhos
94;Geórgia;2010;0.0;0.0;Brasil;Vinhos
95;Geórgia do Sul e Sandwich do Sul, Ilhas;2010;0.0;0.0;Brasil;Vinhos
96;Grécia;2010;42449.0;196361.0;Brasil;Vinhos
97;Hong Kong;2010;0.0;0.0;Brasil;Vinhos
98;Hungria;2010;15193.0;160961.0;Brasil;Vinhos
99;Indonésia;2010;0.0;0.0;Brasil;Vinhos
100;Irlanda;2010;0.0;0.0;Brasil;Vinhos
101;Israel;2010;15782.0;93252.0;Brasil;Vinhos
102;Itália;2010;11911190.0;28683242.0;Brasil;Vinhos
103;Japão;2010;0.0;0.0;Brasil;Vinhos
104;Iugoslávia;2010;0.0;0.0;Brasil;Vinhos
105;Líbano;2010;15741.0;123283.0;Brasil;Vinhos
106;Luxemburgo;2010;0.0;0.0;Brasil;Vinhos
107;Macedônia;2010;0.0;0.0;Brasil;Vinhos
108;Marrocos;2010;0.0;0.0;Brasil;Vinhos
109;México;2010;7004.0;63663.0;Brasil;Vinhos
110;Moldávia;2010;0.0;0.0;Brasil;Vinhos
111;Montenegro;2010;0.0;0.0;Brasil;Vinhos
112;Noruega;2010;0.0;0.0;Brasil;Vinhos
113;Nova Zelândia;2010;102683.0;947043.0;Brasil;Vinhos
114;Países Baixos (Holanda);2010;0.0;0.0;Brasil;Vinhos
115;Panamá;2010;0.0;0.0;Brasil;Vinhos
116;Peru;2010;33.0;252.0;Brasil;Vinhos
117;Porto Rico;2010;0.0;0.0;Brasil;Vinhos
118;Portugal;2010;7801759.0;29299792.0;Brasil;Vinhos
119;Reino Unido;2010;621.0;22292.0;Brasil;Vinhos
120;Republica Dominicana;2010;0.0;0.0;Brasil;Vinhos
121;Romênia;2010;0.0;0.0;Brasil;Vinhos
122;Rússia;2010;0.0;0.0;Brasil;Vinhos
123;San Marino;2010;0.0;0.0;Brasil;Vinhos
124;Sérvia;2010;0.0;0.0;Brasil;Vinhos
125;Síria;2010;0.0;0.0;Brasil;Vinhos
126;Suazilândia;2010;0.0;0.0;Brasil;Vinhos
127;Suíça;2010;2483.0;8010.0;Brasil;Vinhos
128;República Tcheca;2010;0.0;0.0;Brasil;Vinhos
129;Tunísia;2010;0.0;0.0;Brasil;Vinhos
130;Turquia;2010;0.0;0.0;Brasil;Vinhos
131;Ucrânia;2010;0.0;0.0;Brasil;Vinhos
132;Uruguai;2010;1219387.0;3175051.0;Brasil;Vinhos
133;Não consta na tabela;2010;0.0;0.0;Brasil;Vinhos
134;Não declarados;2010;0.0;0.0;Brasil;Vinhos
135;Outros;2010;0.0;0.0;Brasil;Vinhos
136;Africa do Sul;2011;507509.0;2136394.0;Brasil;Vinhos
137;Alemanha;2011;198025.0;933545.0;Brasil;Vinhos
138;Argélia;2011;0.0;0.0;Brasil;Vinhos
139;Arábia Saudita;2011;0.0;0.0;Brasil;Vinhos
140;Argentina;2011;16673491.0;58806736.0;Brasil;Vinhos
141;Armênia;2011;0.0;0.0;Brasil;Vinhos
142;Austrália;2011;824440.0;2811273.0;Brasil;Vinhos
143;Áustria;2011;6357.0;56227.0;Brasil;Vinhos
144;Bermudas;2011;0.0;0.0;Brasil;Vinhos
145;Bélgica;2011;0.0;0.0;Brasil;Vinhos
146;Bolívia;2011;0.0;0.0;Brasil;Vinhos
147;Bósnia-Herzegovina;2011;0.0;0.0;Brasil;Vinhos
148;Brasil;2011;93.0;1164.0;Brasil;Vinhos
149;Bulgária;2011;1097.0;2527.0;Brasil;Vinhos
150;Canada;2011;2322.0;35032.0;Brasil;Vinhos
151;Chile;2011;26642889.0;84952500.0;Brasil;Vinhos
152;China;2011;0.0;0.0;Brasil;Vinhos
153;Coreia do Sul, República;2011;0.0;0.0;Brasil;Vinhos
154;Croácia;2011;450.0;12388.0;Brasil;Vinhos
155;Cuba;2011;0.0;0.0;Brasil;Vinhos
156;Emirados Árabes Unidos;2011;0.0;0.0;Brasil;Vinhos
157;Eslovênia;2011;3600.0;62602.0;Brasil;Vinhos
158;Eslováquia;2011;0.0;0.0;Brasil;Vinhos
159;Espanha;2011;1999970.0;11175636.0;Brasil;Vinhos
160;Estados Unidos;2011;369806.0;1756901.0;Brasil;Vinhos
161;França;2011;3329437.0;22917012.0;Brasil;Vinhos
162;Geórgia;2011;0.0;0.0;Brasil;Vinhos
163;Geórgia do Sul e Sandwich do Sul, Ilhas;2011;0.0;0.0;Brasil;Vinhos
164;Grécia;2011;82207.0;414329.0;Brasil;Vinhos
165;Hong Kong;2011;0.0;0.0;Brasil;Vinhos
166;Hungria;2011;15073.0;256240.0;Brasil;Vinhos
167;Indonésia;2011;0.0;0.0;Brasil;Vinhos
168;Irlanda;2011;0.0;0.0;Brasil;Vinhos
169;Israel;2011;16382.0;68676.0;Brasil;Vinhos
170;Itália;2011;12025827.0;35481781.0;Brasil;Vinhos
171;Japão;2011;0.0;0.0;Brasil;Vinhos
172;Iugoslávia;2011;0.0;0.0;Brasil;Vinhos
173;Líbano;2011;17685.0;137954.0;Brasil;Vinhos
174;Luxemburgo;2011;0.0;0.0;Brasil;Vinhos
175;Macedônia;2011;0.0;0.0;Brasil;Vinhos
176;Marrocos;2011;0.0;0.0;Brasil;Vinhos
177;México;2011;0.0;0.0;Brasil;Vinhos
178;Moldávia;2011;0.0;0.0;Brasil;Vinhos
179;Montenegro;2011;0.0;0.0;Brasil;Vinhos
180;Noruega;2011;0.0;0.0;Brasil;Vinhos
181;Nova Zelândia;2011;151194.0;1267863.0;Brasil;Vinhos
182;Países Baixos (Holanda);2011;0.0;0.0;Brasil;Vinhos
183;Panamá;2011;0.0;0.0;Brasil;Vinhos
184;Peru;2011;0.0;0.0;Brasil;Vinhos
185;Porto Rico;2011;0.0;0.0;Brasil;Vinhos
186;Portugal;2011;8556375.0;35247223.0;Brasil;Vinhos
187;Reino Unido;2011;270.0;6021.0;Brasil;Vinhos
188;Republica Dominicana;2011;0.0;0.0;Brasil;Vinhos
189;Romênia;2011;0.0;0.0;Brasil;Vinhos
190;Rússia;2011;0.0;0.0;Brasil;Vinhos
191;San Marino;2011;0.0;0.0;Brasil;Vinhos
192;Sérvia;2011;0.0;0.0;Brasil;Vinhos
193;Síria;2011;0.0;0.0;Brasil;Vinhos
194;Suazilândia;2011;0.0;0.0;Brasil;Vinhos
195;Suíça;2011;0.0;0.0;Brasil;Vinhos
196;República Tcheca;2011;0.0;0.0;Brasil;Vinhos
197;Tunísia;2011;16420.0;37492.0;Brasil;Vinhos
198;Turquia;2011;0.0;0.0;Brasil;Vinhos
199;Ucrânia;2011;0.0;0.0;Brasil;Vinhos
200;Uruguai;2011;1264306.0;3481552.0;Brasil;Vinhos
201;Não consta na tabela;2011;0.0;0.0;Brasil;Vinhos
202;Não declarados;2011;0.0;0.0;Brasil;Vinhos
203;Outros;2011;0.0;0.0;Brasil;Vinhos
204;Africa do Sul;2012;722327.0;3041449.0;Brasil;Vinhos
205;Alemanha;2012;113243.0;591167.0;Brasil;Vinhos
206;Argélia;2012;0.0;0.0;Brasil;Vinhos
207;Arábia Saudita;2012;0.0;0.0;Brasil;Vinhos
208;Argentina;2012;14613839.0;55633562.0;Brasil;Vinhos
209;Armênia;2012;0.0;0.0;Brasil;Vinhos
210;Austrália;2012;615334.0;2474783.0;Brasil;Vinhos
211;Áustria;2012;8098.0;85116.0;Brasil;Vinhos
212;Bermudas;2012;0.0;0.0;Brasil;Vinhos
213;Bélgica;2012;0.0;0.0;Brasil;Vinhos
214;Bolívia;2012;0.0;0.0;Brasil;Vinhos
215;Bósnia-Herzegovina;2012;0.0;0.0;Brasil;Vinhos
216;Brasil;2012;1051.0;15016.0;Brasil;Vinhos
217;Bulgária;2012;0.0;0.0;Brasil;Vinhos
218;Canada;2012;0.0;0.0;Brasil;Vinhos
219;Chile;2012;30258795.0;93315735.0;Brasil;Vinhos
220;China;2012;0.0;0.0;Brasil;Vinhos
221;Coreia do Sul, República;2012;0.0;0.0;Brasil;Vinhos
222;Croácia;2012;630.0;16571.0;Brasil;Vinhos
223;Cuba;2012;0.0;0.0;Brasil;Vinhos
224;Emirados Árabes Unidos;2012;0.0;0.0;Brasil;Vinhos
225;Eslovênia;2012;433.0;1223.0;Brasil;Vinhos
226;Eslováquia;2012;0.0;0.0;Brasil;Vinhos
227;Espanha;2012;2540209.0;11724946.0;Brasil;Vinhos
228;Estados Unidos;2012;379329.0;1995929.0;Brasil;Vinhos
229;França;2012;3181440.0;21636175.0;Brasil;Vinhos
230;Geórgia;2012;0.0;0.0;Brasil;Vinhos
231;Geórgia do Sul e Sandwich do Sul, Ilhas;2012;0.0;0.0;Brasil;Vinhos
232;Grécia;2012;68966.0;323206.0;Brasil;Vinhos
233;Hong Kong;2012;0.0;0.0;Brasil;Vinhos
234;Hungria;2012;10404.0;168862.0;Brasil;Vinhos
235;Indonésia;2012;0.0;0.0;Brasil;Vinhos
236;Irlanda;2012;0.0;0.0;Brasil;Vinhos
237;Israel;2012;8439.0;47579.0;Brasil;Vinhos
238;Itália;2012;10506144.0;30750897.0;Brasil;Vinhos
239;Japão;2012;0.0;0.0;Brasil;Vinhos
240;Iugoslávia;2012;0.0;0.0;Brasil;Vinhos
241;Líbano;2012;5805.0;47826.0;Brasil;Vinhos
242;Luxemburgo;2012;0.0;0.0;Brasil;Vinhos
243;Macedônia;2012;0.0;0.0;Brasil;Vinhos
244;Marrocos;2012;450.0;3851.0;Brasil;Vinhos
245;México;2012;0.0;0.0;Brasil;Vinhos
246;Moldávia;2012;0.0;0.0;Brasil;Vinhos
247;Montenegro;2012;0.0;0.0;Brasil;Vinhos
248;Noruega;2012;0.0;0.0;Brasil;Vinhos
249;Nova Zelândia;2012;81611.0;790355.0;Brasil;Vinhos
250;Países Baixos (Holanda);2012;0.0;0.0;Brasil;Vinhos
251;Panamá;2012;0.0;0.0;Brasil;Vinhos
252;Peru;2012;0.0;0.0;Brasil;Vinhos
253;Porto Rico;2012;0.0;0.0;Brasil;Vinhos
254;Portugal;2012;9714940.0;36190898.0;Brasil;Vinhos
255;Reino Unido;2012;406.0;26466.0;Brasil;Vinhos
256;Republica Dominicana;2012;0.0;0.0;Brasil;Vinhos
257;Romênia;2012;33750.0;85321.0;Brasil;Vinhos
258;Rússia;2012;0.0;0.0;Brasil;Vinhos
259;San Marino;2012;0.0;0.0;Brasil;Vinhos
260;Sérvia;2012;0.0;0.0;Brasil;Vinhos
261;Síria;2012;0.0;0.0;Brasil;Vinhos
262;Suazilândia;2012;0.0;0.0;Brasil;Vinhos
263;Suíça;2012;0.0;0.0;Brasil;Vinhos
264;República Tcheca;2012;0.0;0.0;Brasil;Vinhos
265;Tunísia;2012;19913.0;42918.0;Brasil;Vinhos
266;Turquia;2012;0.0;0.0;Brasil;Vinhos
267;Ucrânia;2012;0.0;0.0;Brasil;Vinhos
268;Uruguai;2012;1323884.0;3735892.0;Brasil;Vinhos
269;Não consta na tabela;2012;0.0;0.0;Brasil;Vinhos
270;Não declarados;2012;0.0;0.0;Brasil;Vinhos
271;Outros;2012;0.0;0.0;Brasil;Vinhos
272;Africa do Sul;2013;475331.0;1985184.0;Brasil;Vinhos
273;Alemanha;2013;114866.0;414070.0;Brasil;Vinhos
274;Argélia;2013;0.0;0.0;Brasil;Vinhos
275;Arábia Saudita;2013;0.0;0.0;Brasil;Vinhos
276;Argentina;2013;12732815.0;49524694.0;Brasil;Vinhos
277;Armênia;2013;0.0;0.0;Brasil;Vinhos
278;Austrália;2013;553190.0;1703815.0;Brasil;Vinhos
279;Áustria;2013;56849.0;227204.0;Brasil;Vinhos
280;Bermudas;2013;0.0;0.0;Brasil;Vinhos
281;Bélgica;2013;0.0;0.0;Brasil;Vinhos
282;Bolívia;2013;0.0;0.0;Brasil;Vinhos
283;Bósnia-Herzegovina;2013;0.0;0.0;Brasil;Vinhos
284;Brasil;2013;473.0;5747.0;Brasil;Vinhos
285;Bulgária;2013;5947.0;21988.0;Brasil;Vinhos
286;Canada;2013;0.0;0.0;Brasil;Vinhos
287;Chile;2013;28288212.0;90281256.0;Brasil;Vinhos
288;China;2013;0.0;0.0;Brasil;Vinhos
289;Coreia do Sul, República;2013;0.0;0.0;Brasil;Vinhos
290;Croácia;2013;0.0;0.0;Brasil;Vinhos
291;Cuba;2013;0.0;0.0;Brasil;Vinhos
292;Emirados Árabes Unidos;2013;0.0;0.0;Brasil;Vinhos
293;Eslovênia;2013;2192.0;25307.0;Brasil;Vinhos
294;Eslováquia;2013;0.0;0.0;Brasil;Vinhos
295;Espanha;2013;2772104.0;13570874.0;Brasil;Vinhos
296;Estados Unidos;2013;518888.0;2817086.0;Brasil;Vinhos
297;França;2013;3265362.0;23336291.0;Brasil;Vinhos
298;Geórgia;2013;33750.0;134202.0;Brasil;Vinhos
299;Geórgia do Sul e Sandwich do Sul, Ilhas;2013;0.0;0.0;Brasil;Vinhos
300;Grécia;2013;13241.0;71175.0;Brasil;Vinhos
301;Hong Kong;2013;0.0;0.0;Brasil;Vinhos
302;Hungria;2013;10911.0;140198.0;Brasil;Vinhos
303;Indonésia;2013;0.0;0.0;Brasil;Vinhos
304;Irlanda;2013;0.0;0.0;Brasil;Vinhos
305;Israel;2013;24622.0;97645.0;Brasil;Vinhos
306;Itália;2013;8308831.0;30799292.0;Brasil;Vinhos
307;Japão;2013;0.0;0.0;Brasil;Vinhos
308;Iugoslávia;2013;0.0;0.0;Brasil;Vinhos
309;Líbano;2013;6588.0;75810.0;Brasil;Vinhos
310;Luxemburgo;2013;0.0;0.0;Brasil;Vinhos
311;Macedônia;2013;0.0;0.0;Brasil;Vinhos
312;Marrocos;2013;0.0;0.0;Brasil;Vinhos
313;México;2013;0.0;0.0;Brasil;Vinhos
314;Moldávia;2013;0.0;0.0;Brasil;Vinhos
315;Montenegro;2013;0.0;0.0;Brasil;Vinhos
316;Noruega;2013;0.0;0.0;Brasil;Vinhos
317;Nova Zelândia;2013;90728.0;840521.0;Brasil;Vinhos
318;Países Baixos (Holanda);2013;0.0;0.0;Brasil;Vinhos
319;Panamá;2013;0.0;0.0;Brasil;Vinhos
320;Peru;2013;0.0;0.0;Brasil;Vinhos
321;Porto Rico;2013;0.0;0.0;Brasil;Vinhos
322;Portugal;2013;9299080.0;35729522.0;Brasil;Vinhos
323;Reino Unido;2013;127.0;2789.0;Brasil;Vinhos
324;Republica Dominicana;2013;0.0;0.0;Brasil;Vinhos
325;Romênia;2013;0.0;0.0;Brasil;Vinhos
326;Rússia;2013;0.0;0.0;Brasil;Vinhos
327;San Marino;2013;0.0;0.0;Brasil;Vinhos
328;Sérvia;2013;0.0;0.0;Brasil;Vinhos
329;Síria;2013;0.0;0.0;Brasil;Vinhos
330;Suazilândia;2013;0.0;0.0;Brasil;Vinhos
331;Suíça;2013;0.0;0.0;Brasil;Vinhos
332;República Tcheca;2013;0.0;0.0;Brasil;Vinhos
333;Tunísia;2013;8000.0;20892.0;Brasil;Vinhos
334;Turquia;2013;0.0;0.0;Brasil;Vinhos
335;Ucrânia;2013;0.0;0.0;Brasil;Vinhos
336;Uruguai;2013;1372329.0;3740613.0;Brasil;Vinhos
337;Não consta na tabela;2013;0.0;0.0;Brasil;Vinhos
338;Não declarados;2013;0.0;0.0;Brasil;Vinhos
339;Outros;2013;0.0;0.0;Brasil;Vinhos
340;Africa do Sul;2014;722715.0;3033932.0;Brasil;Vinhos
341;Alemanha;2014;115804.0;483316.0;Brasil;Vinhos
342;Argélia;2014;0.0;0.0;Brasil;Vinhos
343;Arábia Saudita;2014;0.0;0.0;Brasil;Vinhos
344;Argentina;2014;13437321.0;53815956.0;Brasil;Vinhos
345;Armênia;2014;0.0;0.0;Brasil;Vinhos
346;Austrália;2014;236742.0;1008851.0;Brasil;Vinhos
347;Áustria;2014;2770.0;32116.0;Brasil;Vinhos
348;Bermudas;2014;0.0;0.0;Brasil;Vinhos
349;Bélgica;2014;0.0;0.0;Brasil;Vinhos
350;Bolívia;2014;0.0;0.0;Brasil;Vinhos
351;Bósnia-Herzegovina;2014;0.0;0.0;Brasil;Vinhos
352;Brasil;2014;449.0;6011.0;Brasil;Vinhos
353;Bulgária;2014;15019.0;46857.0;Brasil;Vinhos
354;Canada;2014;1530.0;25958.0;Brasil;Vinhos
355;Chile;2014;35479279.0;113375484.0;Brasil;Vinhos
356;China;2014;0.0;0.0;Brasil;Vinhos
357;Coreia do Sul, República;2014;0.0;0.0;Brasil;Vinhos
358;Croácia;2014;0.0;0.0;Brasil;Vinhos
359;Cuba;2014;0.0;0.0;Brasil;Vinhos
360;Emirados Árabes Unidos;2014;35.0;1138.0;Brasil;Vinhos
361;Eslovênia;2014;4190.0;23377.0;Brasil;Vinhos
