;pais;anos;quantidade;valor;origem;tipo
99;França;2012;0;0;Brasil;Suco de Uva
100;Guiana;2012;0;0;Brasil;Suco de Uva
101;Israel;2012;1139;2021;Brasil;Suco de Uva
102;itália;2012;0;0;Brasil;Suco de Uva
103;Japão;2012;0;0;Brasil;Suco de Uva
104;Líbano;2012;0;0;Brasil;Suco de Uva
105;México;2012;0;0;Brasil;Suco de Uva
106;Países Baixos;2012;0;0;Brasil;Suco de Uva
107;Panamá;2012;0;0;Brasil;Suco de Uva
108;Peru;2012;0;0;Brasil;Suco de Uva
109;Portugal;2012;1151;3796;Brasil;Suco de Uva
110;Reino Unido;2012;0;0;Brasil;Suco de Uva
111;Taiwan;2012;1632;1034;Brasil;Suco de Uva
112;Turquia;2012;6210;15446;Brasil;Suco de Uva
113;Uruguai;2012;0;0;Brasil;Suco de Uva
114;Venezuela;2012;0;0;Brasil;Suco de Uva
115;Outros;2012;0;0;Brasil;Suco de Uva
116;Africa do Sul;2013;67758;68254;Brasil;Suco de Uva
117;Alemanha;2013;0;0;Brasil;Suco de Uva
118;Argentina;2013;0;0;Brasil;Suco de Uva
119;Austria;2013;0;0;Brasil;Suco de Uva
120;Canadá;2013;0;0;Brasil;Suco de Uva
121;Coreia do Sul, República;2013;176796;227252;Brasil;Suco de Uva
122;Coreia do Norte, República;2013;0;0;Brasil;Suco de Uva
123;Chile;2013;0;0;Brasil;Suco de Uva
124;China;2013;0;0;Brasil;Suco de Uva
125;Dinamarca;2013;0;0;Brasil;Suco de Uva
126;Espanha;2013;9588;8215;Brasil;Suco de Uva
127;Estados Unidos;2013;32044;34722;Brasil;Suco de Uva
128;França;2013;0;0;Brasil;Suco de Uva
129;Guiana;2013;0;0;Brasil;Suco de Uva
130;Israel;2013;2528;4831;Brasil;Suco de Uva
131;itália;2013;771457;408318;Brasil;Suco de Uva
132;Japão;2013;0;0;Brasil;Suco de Uva
133;Líbano;2013;0;0;Brasil;Suco de Uva
134;México;2013;0;0;Brasil;Suco de Uva
135;Países Baixos;2013;0;0;Brasil;Suco de Uva
136;Panamá;2013;0;0;Brasil;Suco de Uva
137;Peru;2013;0;0;Brasil;Suco de Uva
138;Portugal;2013;0;0;Brasil;Suco de Uva
139;Reino Unido;2013;0;0;Brasil;Suco de Uva
140;Taiwan;2013;3672;2328;Brasil;Suco de Uva
141;Turquia;2013;0;0;Brasil;Suco de Uva
142;Uruguai;2013;0;0;Brasil;Suco de Uva
143;Venezuela;2013;0;0;Brasil;Suco de Uva
144;Outros;2013;0;0;Brasil;Suco de Uva
145;Africa do Sul;2014;43104;40489;Brasil;Suco de Uva
146;Alemanha;2014;0;0;Brasil;Suco de Uva
147;Argentina;2014;0;0;Brasil;Suco de Uva
148;Austria;2014;0;0;Brasil;Suco de Uva
149;Canadá;2014;0;0;Brasil;Suco de Uva
150;Coreia do Sul, República;2014;12655;14784;Brasil;Suco de Uva
151;Coreia do Norte, República;2014;16704;24698;Brasil;Suco de Uva
