;pais;anos;quantidade;valor;origem;tipo
104;Alemanha;2010;1958;6877;Brasil;Espumantes
105;Angola;2010;104138;672533;Brasil;Espumantes
106;Antigua e Barbuda;2010;0;0;Brasil;Espumantes
107;Antilhas Holandesas;2010;0;0;Brasil;Espumantes
108;Argentina;2010;0;0;Brasil;Espumantes
109;Aruba;2010;0;0;Brasil;Espumantes
110;Australia;2010;0;0;Brasil;Espumantes
111;Bahamas;2010;146;795;Brasil;Espumantes
112;Bangladesh;2010;0;0;Brasil;Espumantes
113;Barbados;2010;0;0;Brasil;Espumantes
114;Belgica;2010;12897;49742;Brasil;Espumantes
115;Benin;2010;0;0;Brasil;Espumantes
116;Bermudas;2010;0;0;Brasil;Espumantes
117;Bolívia;2010;11960;5553;Brasil;Espumantes
118;Bósnia-Herzegovina;2010;0;0;Brasil;Espumantes
119;Bulgaria;2010;0;0;Brasil;Espumantes
120;Cabo Verde;2010;0;0;Brasil;Espumantes
121;Camarões;2010;0;0;Brasil;Espumantes
122;Canada;2010;0;0;Brasil;Espumantes
123;Catar;2010;0;0;Brasil;Espumantes
124;Cayman, Ilhas;2010;0;0;Brasil;Espumantes
125;Chile;2010;0;0;Brasil;Espumantes
126;China;2010;416;1566;Brasil;Espumantes
127;Chipre;2010;0;0;Brasil;Espumantes
128;Cingapura;2010;247;738;Brasil;Espumantes
129;Colombia;2010;0;0;Brasil;Espumantes
130;Coreia do Sul, Republica da;2010;0;0;Brasil;Espumantes
131;Costa Rica;2010;12;30;Brasil;Espumantes
132;Cuba;2010;0;0;Brasil;Espumantes
133;Curaçao;2010;0;0;Brasil;Espumantes
134;Dinamarca;2010;0;0;Brasil;Espumantes
135;Dominica;2010;0;0;Brasil;Espumantes
136;El Salvador;2010;0;0;Brasil;Espumantes
137;Emirados Arabes Unidos;2010;198;804;Brasil;Espumantes
138;Equador;2010;0;0;Brasil;Espumantes
139;Espanha;2010;0;0;Brasil;Espumantes
140;Estados Unidos;2010;123001;172488;Brasil;Espumantes
141;Estonia;2010;495;1860;Brasil;Espumantes
142;Falkland (Malvinas);2010;0;0;Brasil;Espumantes
143;Filipinas;2010;0;0;Brasil;Espumantes
144;Filânldia;2010;0;0;Brasil;Espumantes
145;França;2010;990;3951;Brasil;Espumantes
146;Gana;2010;0;0;Brasil;Espumantes
147;Gibraltar;2010;0;0;Brasil;Espumantes
148;Granada;2010;0;0;Brasil;Espumantes
149;Grécia;2010;0;0;Brasil;Espumantes
150;Guatemala;2010;4;10;Brasil;Espumantes
151;Guiana;2010;0;0;Brasil;Espumantes
152;Guiné Equatorial;2010;0;0;Brasil;Espumantes
153;Guiné-Bissau;2010;0;0;Brasil;Espumantes
154;Haiti;2010;0;0;Brasil;Espumantes
155;Honduras;2010;0;0;Brasil;Espumantes
156;Hong Kong;2010;0;0;Brasil;Espumantes
157;Hungria;2010;0;0;Brasil;Espumantes
158;Ilha de Man;2010;0;0;Brasil;Espumantes
159;Índia;2010;0;0;Brasil;Espumantes
160;Iraque;2010;0;0;Brasil;Espumantes
161;Irlanda;2010;360;3012;Brasil;Espumantes
162;Islândia;2010;0;0;Brasil;Espumantes
163;Itália;2010;99;390;Brasil;Espumantes
164;Japão;2010;4737;15240;Brasil;Espumantes
165;Jordânia;2010;0;0;Brasil;Espumantes
166;Letônia;2010;0;0;Brasil;Espumantes
167;Líbano;2010;0;0;Brasil;Espumantes
168;Libéria;2010;0;0;Brasil;Espumantes
169;Luxemburgo;2010;846;4975;Brasil;Espumantes
