;pais;anos;quantidade;valor;origem;tipo
97;Quênia;2009;0;0;Brasil;Suco de Uva
98;Reino Unido;2009;30;110;Brasil;Suco de Uva
99;República Centro Africana;2009;0;0;Brasil;Suco de Uva
100;República Dominicana;2009;21465;60138;Brasil;Suco de Uva
101;República Federativa da Rússia;2009;0;0;Brasil;Suco de Uva
102;Rússia;2009;0;0;Brasil;Suco de Uva
103;São Tomé e Príncipe;2009;0;0;Brasil;Suco de Uva
104;Senegal;2009;0;0;Brasil;Suco de Uva
105;Serra Leoa;2009;0;0;Brasil;Suco de Uva
106;Singapura;2009;0;0;Brasil;Suco de Uva
107;Sri Lanka;2009;0;0;Brasil;Suco de Uva
108;Suécia;2009;0;0;Brasil;Suco de Uva
109;Suíça;2009;297;467;Brasil;Suco de Uva
110;Suriname;2009;0;0;Brasil;Suco de Uva
111;Tailândia;2009;4500;12789;Brasil;Suco de Uva
112;Taiwan (Formosa);2009;0;0;Brasil;Suco de Uva
113;Tanzânia;2009;0;0;Brasil;Suco de Uva
114;Tcheca, República;2009;0;0;Brasil;Suco de Uva
115;Togo;2009;0;0;Brasil;Suco de Uva
116;Toquelau;2009;0;0;Brasil;Suco de Uva
117;Trinidade e Tobago;2009;0;0;Brasil;Suco de Uva
118;Turquia;2009;0;0;Brasil;Suco de Uva
119;Uruguai;2009;320;832;Brasil;Suco de Uva
120;Vanuatu;2009;0;0;Brasil;Suco de Uva
121;Venezuela;2009;7688;15969;Brasil;Suco de Uva
122;África do Sul;2010;0;0;Brasil;Suco de Uva
123;Alemanha, República Democrática da;2010;0;0;Brasil;Suco de Uva
124;Angola;2010;6413;8108;Brasil;Suco de Uva
125;Antígua e Barbuda;2010;0;0;Brasil;Suco de Uva
126;Antilhas Holandesas;2010;0;0;Brasil;Suco de Uva
127;Arábia Saudita;2010;0;0;Brasil;Suco de Uva
128;Argélia;2010;0;0;Brasil;Suco de Uva
129;Argentina;2010;840;5315;Brasil;Suco de Uva
130;Aruba;2010;1878;1143;Brasil;Suco de Uva
131;Austrália;2010;0;0;Brasil;Suco de Uva
132;Áustria;2010;0;0;Brasil;Suco de Uva
133;Bahamas;2010;0;0;Brasil;Suco de Uva
134;Bangladesh;2010;0;0;Brasil;Suco de Uva
135;Barbados;2010;0;0;Brasil;Suco de Uva
136;Barein;2010;0;0;Brasil;Suco de Uva
137;Bélgica;2010;0;0;Brasil;Suco de Uva
138;Belize;2010;0;0;Brasil;Suco de Uva
139;Benin;2010;0;0;Brasil;Suco de Uva
140;Bermudas;2010;0;0;Brasil;Suco de Uva
141;Birmânia;2010;8;14;Brasil;Suco de Uva
142;Bolívia;2010;539;910;Brasil;Suco de Uva
143;Cabo Verde;2010;0;0;Brasil;Suco de Uva
144;Camarões;2010;0;0;Brasil;Suco de Uva
145;Canadá;2010;0;0;Brasil;Suco de Uva
146;Catar;2010;0;0;Brasil;Suco de Uva
147;Cayman, Ilhas;2010;0;0;Brasil;Suco de Uva
