;pais;anos;quantidade;valor;origem;tipo
88;Martinica;2009;0;0;Brasil;Vinhos de Mesa
89;Mauritania;2009;0;0;Brasil;Vinhos de Mesa
90;Mexico;2009;0;0;Brasil;Vinhos de Mesa
91;Mocambique;2009;0;0;Brasil;Vinhos de Mesa
92;Montenegro;2009;0;0;Brasil;Vinhos de Mesa
93;Namibia;2009;0;0;Brasil;Vinhos de Mesa
94;Nicaragua;2009;24;24;Brasil;Vinhos de Mesa
95;Nigeria;2009;41;115;Brasil;Vinhos de Mesa
96;Noruega;2009;0;0;Brasil;Vinhos de Mesa
97;Nova Caledonia;2009;0;0;Brasil;Vinhos de Mesa
98;Nova Zelandia;2009;0;0;Brasil;Vinhos de Mesa
99;Oma;2009;0;0;Brasil;Vinhos de Mesa
100;Paises Baixos;2009;171654;136991;Brasil;Vinhos de Mesa
101;Palau;2009;0;0;Brasil;Vinhos de Mesa
102;Panama;2009;24;30;Brasil;Vinhos de Mesa
103;Paraguai;2009;486927;392087;Brasil;Vinhos de Mesa
104;Peru;2009;0;0;Brasil;Vinhos de Mesa
105;Pitcairn;2009;0;0;Brasil;Vinhos de Mesa
106;Polonia;2009;6982;35797;Brasil;Vinhos de Mesa
107;Porto Rico;2009;0;0;Brasil;Vinhos de Mesa
108;Portugal;2009;141000;168923;Brasil;Vinhos de Mesa
109;Quenia;2009;0;0;Brasil;Vinhos de Mesa
110;Reino Unido;2009;30092;68788;Brasil;Vinhos de Mesa
111;Republica Dominicana;2009;0;0;Brasil;Vinhos de Mesa
112;Russia;2009;21912914;5732280;Brasil;Vinhos de Mesa
113;Sao Cristovao e Nevis;2009;0;0;Brasil;Vinhos de Mesa
114;Sao Tome e Principe;2009;0;0;Brasil;Vinhos de Mesa
115;Sao Vicente e Granadinas;2009;0;0;Brasil;Vinhos de Mesa
116;Senegal;2009;0;0;Brasil;Vinhos de Mesa
117;Serra Leoa;2009;0;0;Brasil;Vinhos de Mesa
118;Singapura;2009;0;0;Brasil;Vinhos de Mesa
119;Suazilandia;2009;0;0;Brasil;Vinhos de Mesa
120;Suecia;2009;28334;52826;Brasil;Vinhos de Mesa
121;Suica;2009;27653;81319;Brasil;Vinhos de Mesa
122;Suriname;2009;3830;12918;Brasil;Vinhos de Mesa
123;Tailandia;2009;0;0;Brasil;Vinhos de Mesa
124;Taiwan (Formosa);2009;0;0;Brasil;Vinhos de Mesa
125;Tanzania;2009;0;0;Brasil;Vinhos de Mesa
126;Republica Tcheca;2009;9269;43902;Brasil;Vinhos de Mesa
127;Togo;2009;0;0;Brasil;Vinhos de Mesa
128;Toquelau;2009;0;0;Brasil;Vinhos de Mesa
129;Trinidade Tobago;2009;0;0;Brasil;Vinhos de Mesa
130;Tunisia;2009;0;0;Brasil;Vinhos de Mesa
131;Turquia;2009;0;0;Brasil;Vinhos de Mesa
132;Tuvalu;2009;0;0;Brasil;Vinhos de Mesa
133;Uruguai;2009;0;0;Brasil;Vinhos de Mesa
134;Vanuatu;2009;0;0;Brasil;Vinhos de Mesa
135;Venezuela;2009;0;0;Brasil;Vinhos de Mesa
136;Vietna;2009;743;2143;Brasil;Vinhos de Mesa
137;Afeganistao;2010;0;0;Brasil;Vinhos de Mesa
138;Africa do Sul;2010;0;0;Brasil;Vinhos de Mesa
139;Alemanha;2010;27715;138666;Brasil;Vinhos de Mesa
140;Angola;2010;33557;189891;Brasil;Vinhos de Mesa
141;Anguilla;2010;0;0;Brasil;Vinhos de Mesa
